candidate_id,source,years_experience,education_level,gpa,tech_assessment,behavioral_assessment,coding_challenge,interview_score,notice_period_days,offer_accepted,interviewer_notes_keywords,probation_passed,performance_rating_6mo,performance_rating_12mo,tenure_months,high_performer_flag,voluntary_attrition
1,LinkedIn,5,Master,3.8,85,88,92,8.7,30,1,proactive leadership technical_expert,1,4.2,4.5,28,1,0
2,Referral,3,Bachelor,3.2,78,92,85,8.9,60,1,team_player enthusiastic cultural_fit,1,3.8,4.1,36,1,0
3,Indeed,2,Bachelor,3.0,65,72,68,6.5,15,1,requires_guidance limited_experience,1,2.8,3.0,6,0,1
4,Campus,0,Bachelor,3.6,82,75,78,7.8,45,1,quick_learner needs_training,1,3.5,4.0,24,1,0
5,LinkedIn,7,PhD,3.9,90,85,94,8.5,90,1,expert independent high_expectations,1,4.5,4.7,12,1,1
6,Career_Fair,1,Bachelor,3.1,70,80,72,7.2,30,1,enthusiastic potential raw,1,3.2,3.3,18,0,0
7,Referral,4,Master,3.7,88,90,89,9.1,30,1,standout collaborative strong_skills,1,4.3,4.6,42,1,0
8,Indeed,6,Bachelor,3.4,80,68,82,7.5,14,1,technical_skills_strong communication_weak,1,3.0,3.1,9,0,1
9,Company_Website,2,Master,3.8,85,82,88,8.2,30,1,balanced_skills reliable,1,4.0,4.2,30,1,0
10,LinkedIn,10,Bachelor,3.0,75,65,70,6.8,120,0,overqualified may_get_bored,0,,,0,0,
11,Referral,3,Bachelor,3.5,82,88,84,8.4,45,1,great_attitude learns_fast,1,3.9,4.3,48,1,0
12,Campus,0,Bachelor,2.9,60,75,65,6.0,60,1,struggling needs_support,0,2.5,,3,0,1
13,Indeed,5,Master,3.6,78,75,80,7.6,30,1,average meets_expectations,1,3.4,3.5,15,0,0
14,LinkedIn,8,PhD,4.0,95,80,96,8.8,60,1,brilliant research_oriented,1,4.8,4.9,24,1,1
15,Referral,2,Bachelor,3.3,76,85,78,8.0,30,1,culture_add energetic,1,3.7,4.0,36,1,0
16,Career_Fair,1,Bachelor,2.8,55,70,60,5.8,90,1,unprepared weak_fundamentals,1,2.2,2.0,4,0,1
17,Company_Website,4,Master,3.7,86,84,87,8.3,30,1,consistent detail_oriented,1,4.1,4.3,33,1,0
